timestamp,symbol,strikePrice,openInterest,lastPrice,impliedVolatility
2025-06-01,RELIANCE23JUNCE,2500,1000,100,18.0
2025-06-01,RELIANCE23JUNPE,2500,1000,100,18.5
2025-06-01,INFY23JUNCE,2500,1000,100,18.0
2025-06-01,INFY23JUNPE,2500,1000,100,18.5
2025-06-02,RELIANCE23JUNCE,2550,1010,102,19.0
2025-06-02,RELIANCE23JUNPE,2550,1010,102,19.5
2025-06-02,INFY23JUNCE,2550,1010,102,19.0
2025-06-02,INFY23JUNPE,2550,1010,102,19.5
2025-06-03,RELIANCE23JUNCE,2600,1020,104,20.0
2025-06-03,RELIANCE23JUNPE,2600,1020,104,20.5
2025-06-03,INFY23JUNCE,2600,1020,104,20.0
2025-06-03,INFY23JUNPE,2600,1020,104,20.5
2025-06-04,RELIANCE23JUNCE,2650,1030,106,21.0
2025-06-04,RELIANCE23JUNPE,2650,1030,106,21.5
2025-06-04,INFY23JUNCE,2650,1030,106,21.0
2025-06-04,INFY23JUNPE,2650,1030,106,21.5
2025-06-05,RELIANCE23JUNCE,2700,1040,108,22.0
2025-06-05,RELIANCE23JUNPE,2700,1040,108,22.5
2025-06-05,INFY23JUNCE,2700,1040,108,22.0
2025-06-05,INFY23JUNPE,2700,1040,108,22.5
2025-06-06,RELIANCE23JUNCE,2500,1050,110,18.0
2025-06-06,RELIANCE23JUNPE,2500,1050,110,18.5
2025-06-06,INFY23JUNCE,2500,1050,110,18.0
2025-06-06,INFY23JUNPE,2500,1050,110,18.5
2025-06-07,RELIANCE23JUNCE,2550,1060,112,19.0
2025-06-07,RELIANCE23JUNPE,2550,1060,112,19.5
2025-06-07,INFY23JUNCE,2550,1060,112,19.0
2025-06-07,INFY23JUNPE,2550,1060,112,19.5
2025-06-08,RELIANCE23JUNCE,2600,1070,114,20.0
2025-06-08,RELIANCE23JUNPE,2600,1070,114,20.5
2025-06-08,INFY23JUNCE,2600,1070,114,20.0
2025-06-08,INFY23JUNPE,2600,1070,114,20.5
2025-06-09,RELIANCE23JUNCE,2650,1080,116,21.0
2025-06-09,RELIANCE23JUNPE,2650,1080,116,21.5
2025-06-09,INFY23JUNCE,2650,1080,116,21.0
2025-06-09,INFY23JUNPE,2650,1080,116,21.5
2025-06-10,RELIANCE23JUNCE,2700,1090,118,22.0
2025-06-10,RELIANCE23JUNPE,2700,1090,118,22.5
2025-06-10,INFY23JUNCE,2700,1090,118,22.0
2025-06-10,INFY23JUNPE,2700,1090,118,22.5
2025-06-11,RELIANCE23JUNCE,2500,1100,120,18.0
2025-06-11,RELIANCE23JUNPE,2500,1100,120,18.5
2025-06-11,INFY23JUNCE,2500,1100,120,18.0
2025-06-11,INFY23JUNPE,2500,1100,120,18.5
2025-06-12,RELIANCE23JUNCE,2550,1110,122,19.0
2025-06-12,RELIANCE23JUNPE,2550,1110,122,19.5
2025-06-12,INFY23JUNCE,2550,1110,122,19.0
2025-06-12,INFY23JUNPE,2550,1110,122,19.5
2025-06-13,RELIANCE23JUNCE,2600,1120,124,20.0
2025-06-13,RELIANCE23JUNPE,2600,1120,124,20.5
